"No.","公開番号","案件の状態","発注方式","電入／紙入","工事番号","工事名","所属コード","所属名","工事場所","予定価格（税抜）","予定価格（税込）","公告（通知）日","開札予定日","更新日時","発注業種","発注業種２"
"44","163530","○","一般競争入札","電子入札","平成２８年度　県防　第９号","県土防災対策治山事業","130590","日高振興局農林水産振興部","日高郡日高川町","340000","367200","2016/12/01","2016/12/14","2016/12/01 06:31","土木一式工事",""
"45","163529","○","一般競争入札","電子入札","平成２８年度　県防　第２７号","県土防災対策治山事業","130590","日高振興局農林水産振興部","日高郡印南町","2481000","2679480","2016/12/01","2016/12/14","2016/12/01 06:31","土木一式工事",""
"46","163580","○","一般競争入札","電子入札","平成２８年度　県災　第６号","由良川河川災害復旧（外）合併工事","130560","日高振興局建設部","日高郡由良町","8020000","8661600","2016/12/01","2016/12/13","2016/12/01 06:31","土木一式工事",""
"47","163533","○","一般競争入札","電子入札","平成２８年度　県債　道改交金　第２５号","国道４８０号（田口橋）道路改良工事","130460","有田振興局建設部","有田郡有田川町","22709000","24525720","2016/12/01","2016/12/14","2016/12/01 06:30","土木一式工事",""
"48","163550","○","一般競争入札（総合評価）","電子入札","平成２８年度　県債　道改交金　第１４－３１号","国道３７１号道路改良工事","130760","東牟婁振興局串本建設部","東牟婁郡古座川町","69980000","75578400","2016/12/01","2016/12/20","2016/12/01 06:31","土木一式工事",""
"49","163549","○","一般競争入札（総合評価）","電子入札","平成２８年度　県債　道改交金　第１１３号－３４","和歌山橋本線道路改良工事","130160","海草振興局建設部","和歌山市","16156000","17448480","2016/12/01","2017/01/11","2016/12/01 06:30","土木一式工事",""
"50","163560","○","一般競争入札","電子入札","平成２８年度　県債　道改交金　第１１３号－２３","和歌山橋本線道路改良工事","130160","海草振興局建設部","和歌山市","19075000","20601000","2016/12/01","2016/12/13","2016/12/01 06:30","土木一式工事",""
"51","163587","○","一般競争入札","電子入札","平成２８年度　県債　県交　第２号－１６","和歌山打田線交通安全施設等整備工事","130260","那賀振興局建設部","岩出市","13127000","14177160","2016/12/01","2016/12/13","2016/12/01 06:30","土木一式工事",""
"52","163559","○","一般競争入札","電子入札","平成２８年度　県債　県交　第２号－１５","新田広芝岩出停車場線交通安全施設等整備工事","130260","那賀振興局建設部","岩出市","10918000","11791440","2016/12/01","2016/12/13","2016/12/01 06:30","土木一式工事",""
"53","163541","○","一般競争入札","電子入札","平成２８年度　県債　河修　第７号－２９","富田川外河川修繕工事","130660","西牟婁振興局建設部","西牟婁郡白浜町","18903000","20415240","2016/12/01","2016/12/12","2016/12/01 06:31","土木一式工事",""
"54","163543","○","一般競争入札","電子入札","平成２８年度　県債　河修　第６号－６４","上野川河川修繕工事","130560","日高振興局建設部","御坊市","27605000","29813400","2016/12/01","2016/12/13","2016/12/01 06:31","鋼構造物工事",""
"55","163555","○","一般競争入札","電子入札","平成２８年度　県債　２８年災　第３６号","伊串川河川災害復旧工事","130760","東牟婁振興局串本建設部","東牟婁郡串本町","4817000","5202360","2016/12/01","2016/12/13","2016/12/01 06:31","土木一式工事",""
"56","163551","○","一般競争入札","電子入札","平成２８年度　県債　２８年災　第３５号","田並川河川災害復旧工事","130760","東牟婁振興局串本建設部","東牟婁郡串本町","5748000","6207840","2016/12/01","2016/12/13","2016/12/01 06:31","土木一式工事",""
"57","163554","○","一般競争入札","電子入札","平成２８年度　県債　２８年災　第３４号","池野山川河川災害復旧工事","130760","東牟婁振興局串本建設部","東牟婁郡古座川町","4693000","5068440","2016/12/01","2016/12/13","2016/12/01 06:31","土木一式工事",""
"58","163552","○","一般競争入札","電子入札","平成２８年度　県債　２８年災　第３３号","小川河川災害復旧工事","130760","東牟婁振興局串本建設部","東牟婁郡古座川町","11458000","12374640","2016/12/01","2016/12/13","2016/12/01 06:31","土木一式工事",""
"59","163547","○","一般競争入札","電子入札","平成２８年度　県交　第５号－１１","江川小松原線交通安全施設等整備測量業務","130560","日高振興局建設部","日高郡日高川町","1130000","1220400","2016/12/01","2016/12/13","2016/12/01 06:31","測量一般",""
"60","163579","○","一般競争入札","電子入札","平成２８年度　県交　第２号－１４","新田広芝岩出停車場線交通安全施設等整備工事","130260","那賀振興局建設部","岩出市","6688000","7223040","2016/12/01","2016/12/13","2016/12/01 06:30","土木一式工事",""
"61","163571","○","一般競争入札","電子入札","平成２８年度　県交　第２号－１３","粉河加太線交通安全施設等整備設計業務","130260","那賀振興局建設部","紀の川市","3010000","3250800","2016/12/01","2016/12/13","2016/12/01 06:30","道路",""
"62","163572","○","一般競争入札","電子入札","平成２８年度　県交　第２号－１２","粉河加太線交通安全施設等整備測量業務","130260","那賀振興局建設部","紀の川市","1570000","1695600","2016/12/01","2016/12/13","2016/12/01 06:30","測量一般",""
"63","163548","○","一般競争入札","電子入札","平成２８年度　漁港海岸　第１号－６","田辺漁港海岸整備（環境）工事","130660","西牟婁振興局建設部","田辺市","12148000","13119840","2016/12/01","2016/12/12","2016/12/01 06:31","土木一式工事",""
"64","163544","○","一般競争入札","電子入札","平成２８年度　急傾斜　第１０号","比井地区急傾斜地崩壊対策工事","130560","日高振興局建設部","日高郡日高町","3687000","3981960","2016/12/01","2016/12/13","2016/12/01 06:31","とび・土工・コンクリート工事",""
"65","163556","○","一般競争入札","電子入札","平成２８年度　河修　第８号－１８","右東谷川河川修繕工事","130760","東牟婁振興局串本建設部","東牟婁郡串本町","1636000","1766880","2016/12/01","2016/12/13","2016/12/01 06:31","土木一式工事",""
"66","163527","○","一般競争入札","電子入札","平成２８年度　河修　第７号－３１","馬川外河川修繕外合併工事","130660","西牟婁振興局建設部","西牟婁郡上富田町","8161000","8813880","2016/12/01","2016/12/12","2016/12/01 06:31","土木一式工事",""
"67","163564","○","一般競争入札","電子入札","平成２８年度　河修　第１号－１８","千手川河川修繕工事","130160","海草振興局建設部","和歌山市","3934000","4248720","2016/12/01","2016/12/13","2016/12/01 06:30","土木一式工事",""
"68","163558","○","一般競争入札","電子入札","平成２８年度　ダム修繕　第５号－８","七川ダム管理事務所屋上防水修繕工事","130760","東牟婁振興局串本建設部","東牟婁郡古座川町","2858000","3086640","2016/12/01","2016/12/13","2016/12/01 06:31","防水工事",""
"69","163583","○","一般競争入札","電子入札","平成２８年度　サイ整　第１００号－２","国道３７０号サイクリングロード整備外合併工事","130160","海南工事事務所","海草郡紀美野町","7505000","8105400","2016/12/01","2016/12/13","2016/12/01 06:30","塗装工事",""
"70","163563","○","一般競争入札","電子入札","平成２８年度　サイ整　第１００号","国道３７０号外サイクリングロード整備外合併工事","130160","海南工事事務所","海南市","6691000","7226280","2016/12/01","2016/12/13","2016/12/01 06:30","塗装工事",""
"71","163593","○","一般競争入札","電子入札","平成２７年度　防交金　第１０３号－５","藤谷川　河川整備建物等調査業務","130360","伊都振興局建設部","伊都郡かつらぎ町","1740000","1879200","2016/12/01","2016/12/13","2016/12/01 06:30","物件",""
"72","163528","○","一般競争入札","電子入札","平成２７年度　港整　第７－５号－７","湯浅広港港湾施設整備設計業務","130460","有田振興局建設部","有田郡湯浅町","5750000","6210000","2016/12/01","2016/12/14","2016/12/01 06:30","港湾及び空港",""
"73","163565","○","一般競争入札","電子入札","平成２７年度　公共街路　第２号－１０","西脇山口線(川永)道路改良外合併工事","130160","海草振興局建設部","和歌山市","13539000","14622120","2016/12/01","2016/12/13","2016/12/01 06:30","土木一式工事",""
"74","163573","○","一般競争入札（総合評価）","電子入札","平成２７年度　２７年災　第３０－１号","江川災害復旧助成工事","130560","日高振興局建設部","日高郡日高川町","70505000","76145400","2016/12/01","2016/12/20","2016/12/01 06:31","土木一式工事",""
"75","163491","☆","一般競争入札","電子入札","平成２８年度　防交金　第２０６－３０号－５","日高川河川整備工事","130560","日高振興局建設部","日高郡日高川町","19041000","20564280","2016/11/24","2016/12/06","2016/11/29 06:30","土木一式工事",""
"76","163492","☆","一般競争入札","電子入札","平成２８年度　防交金　第２０６－３０号－３","日高川河川整備工事","130560","日高振興局建設部","日高郡日高川町","16720000","18057600","2016/11/24","2016/12/06","2016/11/29 06:30","土木一式工事",""
"77","163460","○","一般競争入札（総合評価）","電子入札","平成２８年度　防交金　第１１９－３１号","有田川総合流域防災工事","130460","有田振興局建設部","有田市","39753000","42933240","2016/11/24","2016/12/14","2016/11/24 06:31","土木一式工事",""
"78","163506","☆","一般競争入札","電子入札","平成２８年度　防交金　第１１７号－３","那智川河川整備工事（平成23年台風12号災害復旧）","130770","東牟婁振興局新宮建設部","東牟婁郡那智勝浦町","12341000","13328280","2016/11/24","2016/12/05","2016/11/29 06:31","舗装工事",""
"79","163507","☆","一般競争入札","電子入札","平成２８年度　防交金　第１１７号－２","那智川河川整備工事（平成23年台風12号災害復旧）","130770","東牟婁振興局新宮建設部","東牟婁郡那智勝浦町","13376000","14446080","2016/11/24","2016/12/05","2016/11/29 06:31","舗装工事",""
"80","163505","☆","一般競争入札","電子入札","平成２８年度　防交金　第１１７号","那智川河川整備工事（平成23年台風12号災害復旧）","130770","東牟婁振興局新宮建設部","東牟婁郡那智勝浦町","13702000","14798160","2016/11/24","2016/12/05","2016/11/29 06:31","舗装工事",""
"81","163459","☆","一般競争入札","電子入札","平成２８年度　防交金　第１１６号－８","佐野川河川整備建物調査業務","130770","東牟婁振興局新宮建設部","新宮市","990000","1069200","2016/11/24","2016/12/05","2016/11/29 06:30","物件",""
"82","163502","○","一般競争入札（総合評価）","電子入札","平成２８年度　防交金　第１１４－３０号","椿山ダム放流警報局機器更新工事","130560","日高振興局建設部","日高郡日高川町","33281000","35943480","2016/11/24","2016/12/13","2016/11/24 06:31","電気通信工事",""
"83","163521","○","一般競争入札（総合評価）","電子入札","平成２８年度　防交金　第１０５－３０号","住吉川（仮称乾橋上部）河川整備工事","130260","那賀振興局建設部","岩出市","40948000","44223840","2016/11/24","2016/12/13","2016/11/24 06:30","土木一式工事",""
"84","163453","☆","一般競争入札","電子入札","平成２８年度　舗補　第７号－１０","田原古座線舗装補修工事","130760","東牟婁振興局串本建設部","東牟婁郡古座川町","13780000","14882400","2016/11/24","2016/12/06","2016/11/29 06:30","舗装工事",""
"85","163468","☆","一般競争入札","電子入札","平成２８年度　舗補　第６号－６","国道３１１号舗装補修工事","130660","西牟婁振興局建設部","田辺市","4406000","4758480","2016/11/24","2016/12/06","2016/11/24 06:31","舗装工事",""
"86","163470","☆","一般競争入札","電子入札","平成２８年度　舗補　第６号－５","国道３７１号舗装補修外合併工事","130660","西牟婁振興局建設部","田辺市","2113000","2282040","2016/11/24","2016/12/06","2016/11/24 06:31","舗装工事",""
"87","163469","☆","一般競争入札","電子入札","平成２８年度　舗補　第６号－４","平瀬上三栖線舗装補修工事","130660","西牟婁振興局建設部","田辺市","2946000","3181680","2016/11/24","2016/12/06","2016/11/24 06:31","舗装工事",""
"88","163467","☆","一般競争入札","電子入札","平成２８年度　舗補　第６号－３","国道３１１号舗装補修工事","130660","西牟婁振興局建設部","西牟婁郡上富田町","3797000","4100760","2016/11/24","2016/12/06","2016/11/24 06:31","舗装工事",""
"89","163494","☆","一般競争入札","電子入札","平成２８年度　舗補　第５号－４","江川小松原線（外）舗装補修工事","130560","日高振興局建設部","御坊市","14974000","16171920","2016/11/24","2016/12/06","2016/11/29 06:30","舗装工事",""
"90","163515","☆","一般競争入札","電子入札","平成２８年度　舗補　第３号－８","阪本五條線舗装補修工事","130360","伊都振興局建設部","伊都郡高野町","17789000","19212120","2016/11/24","2016/12/06","2016/11/30 06:30","舗装工事",""
"91","163516","☆","一般競争入札","電子入札","平成２８年度　舗補　第３号－６","国道３７０号　舗装補修工事","130360","伊都振興局建設部","伊都郡九度山町","7246000","7825680","2016/11/24","2016/12/06","2016/11/30 06:30","舗装工事",""
"92","163465","☆","一般競争入札","電子入札","平成２８年度　舗補　第１号－８","和歌山海南線外舗装補修工事","130160","海草振興局建設部","和歌山市","5361000","5789880","2016/11/24","2016/12/06","2016/11/30 06:30","舗装工事",""
"93","163512","○","一般競争入札（総合評価）","電子入札","平成２８年度　道保交金　第９０４－１０号－４","有功天王線交付金道路保全設計業務","130160","海草振興局建設部","和歌山市","12970000","14007600","2016/11/24","2016/12/22","2016/11/24 06:30","鋼構造及びコンクリート",""
"94","163482","☆","一般競争入札","電子入札","平成２８年度　道調　第１号－３","海草振興局建設部管内道路交通量調査業務","130160","海草振興局建設部","和歌山市","7730000","8348400","2016/11/24","2016/12/06","2016/11/30 06:30","測量一般",""
"95","163463","☆","一般競争入札","電子入札","平成２８年度　道改交金　第５－１号－７","国道３７０号外道路改良合併工事","130160","海南工事事務所","海南市","4471000","4828680","2016/11/24","2016/12/06","2016/11/24 06:30","塗装工事",""
"96","163473","○","一般競争入札（総合評価）","電子入札","平成２８年度　道改交金　第１３３号－１６","白浜温泉線道路改良外合併工事","130660","西牟婁振興局建設部","西牟婁郡白浜町","77804000","84028320","2016/11/24","2016/12/13","2016/11/24 06:31","土木一式工事",""
"97","163523","☆","一般競争入札","電子入札","平成２８年度　道改交金　第１２８－３１号","御坊中津線道路改良工事","130560","日高振興局建設部","日高郡日高川町","6936000","7490880","2016/11/24","2016/12/06","2016/11/29 06:30","舗装工事",""
"98","163501","☆","一般競争入札","電子入札","平成２８年度　道維修　第８号－２８","那智勝浦古座川線道路維持修繕工事","130770","東牟婁振興局新宮建設部","東牟婁郡那智勝浦町","2019000","2180520","2016/11/24","2016/12/05","2016/11/24 06:31","土木一式工事",""
"99","163489","☆","一般競争入札","電子入札","平成２８年度　道維修　第８号－２７","那智山勝浦線道路維持修繕工事","130770","東牟婁振興局新宮建設部","東牟婁郡那智勝浦町","1642000","1773360","2016/11/24","2016/12/05","2016/11/24 06:31","造園工事",""
"100","163483","☆","一般競争入札","電子入札","平成２８年度　道維修　第８号－２１","あけぼの広角線外道路維持修繕外合併工事","130770","東牟婁振興局新宮建設部","新宮市","7140000","7711200","2016/11/24","2016/12/05","2016/11/29 06:30","土木一式工事",""
"101","163485","☆","一般競争入札","電子入札","平成２８年度　道維修　第８号－１９","那智勝浦本宮線外道路維持修繕工事","130770","東牟婁振興局新宮建設部","東牟婁郡那智勝浦町","2629000","2839320","2016/11/24","2016/12/05","2016/11/24 06:31","土木一式工事",""
"102","163451","☆","一般競争入札","電子入札","平成２８年度　道維修　第７号－５９","すさみ古座線外単価契約工事","130760","東牟婁振興局串本建設部","東牟婁郡古座川町","4983000","5381640","2016/11/24","2016/12/06","2016/11/24 06:31","土木一式工事",""
"103","163452","☆","一般競争入札","電子入札","平成２８年度　道維修　第７号－１５","国道３７１号外道路維持修繕工事","130760","東牟婁振興局串本建設部","東牟婁郡古座川町","9255000","9995400","2016/11/24","2016/12/06","2016/11/29 06:30","土木一式工事",""
"104","163497","☆","一般競争入札","電子入札","平成２８年度　道維修　第５号－２８","中芳養南部線道路維持修繕工事","130560","日高振興局建設部","日高郡みなべ町","3100000","3348000","2016/11/24","2016/12/06","2016/11/24 06:31","土木一式工事",""
"105","163496","☆","一般競争入札","電子入札","平成２８年度　道維修　第５号－１３","中芳養南部線道路維持修繕工事","130560","日高振興局建設部","日高郡みなべ町","7846000","8473680","2016/11/24","2016/12/06","2016/11/29 06:30","土木一式工事",""
"106","163499","☆","一般競争入札","電子入札","平成２８年度　中山間防　第１号－５５","市ノ瀬地区ため池土質調査その2業務","130690","西牟婁振興局農林水産振興部","西牟婁郡上富田町","4290000","4633200","2016/11/24","2016/12/05","2016/11/30 16:30","地質調査",""
"107","163498","☆","一般競争入札","電子入札","平成２８年度　中山間防　第１号－５４","市ノ瀬地区寺池・堂ノ谷池実施設計業務","130690","西牟婁振興局農林水産振興部","西牟婁郡上富田町","3990000","4309200","2016/11/24","2016/12/05","2016/11/29 06:30","農業土木",""
"108","163456","☆","一般競争入札","電子入札","平成２８年度　地特　第３９号－７","すさみ古座線（仮称安和橋）地方特定道路整備設計資料点検業務","130760","東牟婁振興局串本建設部","西牟婁郡すさみ町","2180000","2354400","2016/11/24","2016/12/06","2016/11/29 06:30","鋼構造及びコンクリート",""
"109","163454","☆","一般競争入札","電子入札","平成２８年度　小道改　第７０４号－４","串本古座川線小規模道路改良外合併工事","130760","東牟婁振興局串本建設部","東牟婁郡古座川町","8560000","9244800","2016/11/24","2016/12/06","2016/11/29 06:30","舗装工事",""
"110","163472","☆","一般競争入札","電子入札","平成２８年度　小道改　第６０７号－３","下川上牟婁線小規模道路改良工事","130660","西牟婁振興局建設部","田辺市","6830000","7376400","2016/11/24","2016/12/06","2016/11/29 06:30","土木一式工事",""
"111","163464","☆","一般競争入札","電子入札","平成２８年度　小道改　第３５６号－２","美里龍神線小規模道路改良工事","130160","海南工事事務所","海草郡紀美野町","2761000","2981880","2016/11/24","2016/12/06","2016/11/24 06:30","舗装工事",""
"112","163518","☆","一般競争入札","電子入札","平成２８年度　小道改　第１０１号－２","山田岸上線　小規模道路改良工事","130360","伊都振興局建設部","橋本市","2134000","2304720","2016/11/24","2016/12/06","2016/11/24 06:30","舗装工事",""
"113","163503","☆","一般競争入札","電子入札","平成２８年度　国補県改　第１１２号－１７","粉河加太線道路改良工事","130160","海草振興局建設部","和歌山市","15328000","16554240","2016/11/24","2016/12/06","2016/11/30 06:30","土木一式工事",""
"114","163480","☆","一般競争入札","電子入札","平成２８年度　国交建住　第４号－１","吉原団地駐車場整備工事","081200","都市住宅局　公共建築課","有田郡有田川町","9650000","10422000","2016/11/24","2016/12/06","2016/11/30 06:30","建築一式工事",""
"115","163461","☆","一般競争入札","電子入札","平成２８年度　港海整　第５－２号","湯浅広港海岸港湾海岸整備工事","130460","有田振興局建設部","有田郡湯浅町","15490000","16729200","2016/11/24","2016/12/07","2016/12/01 06:30","電気通信工事",""
